Potential Name,Potential Owner,Created Time,Closing Date,Amount,Expected Revenue,Stage,Forecast Type,Type,Lead Source,Probability,Age in Days,Age Tier,Amount Tier,LEADID,Tasks Involved,Events Involved,Calls Involved,Activities Involved,Campaign Id
"Luna, Paul",Tina Thomas,"05 Sep, 2020 00:07:00","26 Nov, 2020 00:10:00","$105,700.00","$107,250.00",Qualification,Open,Existing Business,Sales Mail Alias,100,82,2. 61 - 120 days,5. Above 40K,3880,No,No,No,No,24000077
"Milewski, Nancy",Santa Cruz Clara,"05 Sep, 2020 00:07:00","12 Jan, 2021 00:11:00","$8,700.00","$18,350.00",Initial Offer,Open,Existing Business,External Referral,100,129,3. 121 - 180 days,1. 0 - $10K,3859,No,No,No,No,24000077
"Stogner, Helen",Pete Zachariah,"05 Sep, 2020 00:07:00","20 Mar, 2021 00:02:00","$213,400.00","$207,600.00",Closed Won,Won,New Business,Cold Call,100,196,4. 181 - 360 days,5. Above 40K,1491,No,No,No,No,24000012
"Robinette, Kimberly",David Love,"05 Sep, 2020 00:07:00","05 Oct, 2020 00:08:00","$81,000.00","$41,600.00",Closed Lost,Lost,New Business,Partner,20,30,1. 0 - 60 days,5. Above 40K,4464,Yes,No,No,Yes,24000099
"Kline, Jeff",Jasmine Frank,"04 Sep, 2020 00:07:00","02 Oct, 2020 00:08:00","$12,400.00","$20,350.00",Closed Won,Won,New Business,Employee Referral,100,28,1. 0 - 60 days,"2. $10,001 - $20K",3750,No,No,No,No,24000073
"Hall, Dorothy",Santa Cruz Clara,"04 Sep, 2020 00:07:00","01 Oct, 2020 00:08:00","$15,700.00","$15,150.00",Closed Won,Won,Existing Business,Web Research,80,27,1. 0 - 60 days,"2. $10,001 - $20K",3540,Yes,Yes,Yes,Yes,24000069
"Dukes, Eugene",Tina Thomas,"04 Sep, 2020 00:07:00","30 Jan, 2021 00:12:00","$142,500.00","$101,500.00",Proposal/Price Quote,Open,New Business,Partner,100,148,3. 121 - 180 days,5. Above 40K,3528,No,No,No,No,24000069
"Jeter, Dolores",Augustine Paul,"04 Sep, 2020 00:07:00","01 Oct, 2020 00:08:00","$90,700.00","$89,900.00",Closed Lost,Lost,New Business,Trade Show,20,27,1. 0 - 60 days,5. Above 40K,4286,Yes,Yes,No,Yes,24000094
"Vierra, Garry",Tina Thomas,"04 Sep, 2020 00:07:00","07 Oct, 2020 00:08:00","$13,500.00","$12,450.00",Closed Lost,Lost,Existing Business,Public Relations,75,33,1. 0 - 60 days,"2. $10,001 - $20K",4465,No,No,No,No,24000099
"Perkins, Albert",David Love,"04 Sep, 2020 00:07:00","03 Apr, 2021 00:02:00","$25,700.00","$25,500.00",Qualification,Open,New Business,Public Relations,90,211,4. 181 - 360 days,"3. $20,001 - $30K",4123,No,No,No,No,24000085
"Sinclair, Melvin",Santa Cruz Clara,"04 Sep, 2020 00:07:00","26 Sep, 2020 00:08:00","$83,100.00","$99,750.00",Closed Won,Won,New Business,Public Relations,75,22,1. 0 - 60 days,5. Above 40K,3789,No,Yes,Yes,Yes,24000075
"Hampton, Sharon",Jasmine Frank,"04 Sep, 2020 00:07:00","02 Oct, 2020 00:08:00","$73,600.00","$64,000.00",Closed Won,Won,Existing Business,Trade Show,20,28,1. 0 - 60 days,5. Above 40K,3989,No,No,No,No,24000080
"Stone, James",Thomas Mondrake,"04 Sep, 2020 00:07:00","14 Feb, 2021 00:01:00","$11,200.00","$12,700.00",Proposal/Price Quote,Open,New Business,External Referral,0,163,3. 121 - 180 days,"2. $10,001 - $20K",4211,Yes,Yes,No,Yes,24000090
"Rivera, Mary",Thomas Mondrake,"04 Sep, 2020 00:07:00","26 Sep, 2020 00:08:00","$10,000.00","$8,400.00",Closed Won,Won,Existing Business,External Referral,100,22,1. 0 - 60 days,1. 0 - $10K,4013,Yes,No,No,Yes,24000082
"Cleek, Charles",Rozario Diego,"04 Sep, 2020 00:07:00","30 Sep, 2020 00:08:00","$87,700.00","$100,100.00",Closed Lost,Lost,New Business,Partner,10,26,1. 0 - 60 days,5. Above 40K,4850,No,No,No,No,24000109
"Springer, Manuel",Harold Pawlan,"04 Sep, 2020 00:07:00","08 Oct, 2020 00:08:00","$6,000.00","$5,800.00",Closed Lost,Lost,New Business,Cold Call,20,34,1. 0 - 60 days,1. 0 - $10K,4110,No,No,No,No,24000085
"Webb, Ian",Tina Thomas,"03 Sep, 2020 00:07:00","03 Nov, 2020 00:09:00","$63,300.00","$87,500.00",Needs Analysis,Open,New Business,Web Research,100,61,2. 61 - 120 days,5. Above 40K,4702,No,No,No,No,24000107
"Reynolds, Diane",Harold Pawlan,"03 Sep, 2020 00:07:00","06 Oct, 2020 00:08:00","$23,000.00","$32,400.00",Closed Won,Won,Existing Business,Partner,100,33,1. 0 - 60 days,"3. $20,001 - $30K",4203,No,No,Yes,Yes,24000090
"Ayala, Robert",Santa Cruz Clara,"03 Sep, 2020 00:07:00","30 Sep, 2020 00:08:00","$78,300.00","$81,400.00",Closed Won,Won,New Business,Web Research,10,27,1. 0 - 60 days,5. Above 40K,3576,No,Yes,Yes,Yes,24000069
"Stach, Allan",Thomas Mondrake,"03 Sep, 2020 00:07:00","26 Sep, 2020 00:08:00","$9,300.00","$20,850.00",Closed Lost,Lost,New Business,Web Research,10,23,1. 0 - 60 days,1. 0 - $10K,4729,Yes,No,No,Yes,24000107
"Jones, Bobbie",David Love,"03 Sep, 2020 00:07:00","04 Oct, 2020 00:08:00","$77,100.00","$106,800.00",Closed Won,Won,New Business,External Referral,100,31,1. 0 - 60 days,5. Above 40K,4481,Yes,No,Yes,Yes,24000099
"Norwood, David",Lazar Mathew,"03 Sep, 2020 00:07:00","27 Dec, 2020 00:11:00","$120,000.00","$146,200.00",Qualification,Open,New Business,Partner,10,115,2. 61 - 120 days,5. Above 40K,4014,Yes,No,No,Yes,24000082
"Kiernan, Shawn",David Love,"03 Sep, 2020 00:07:00","27 Sep, 2020 00:08:00","$11,500.00","$16,200.00",Closed Won,Won,Existing Business,Employee Referral,0,24,1. 0 - 60 days,"2. $10,001 - $20K",4264,No,No,Yes,Yes,24000092
"Allen, Brenda",Harold Pawlan,"03 Sep, 2020 00:07:00","23 Nov, 2020 00:10:00","$231,600.00","$208,650.00",Qualification,Open,New Business,Trade Show,100,81,2. 61 - 120 days,5. Above 40K,1704,No,No,No,No,24000020
"Stines, Patrick",Jasmine Frank,"03 Sep, 2020 00:07:00","02 May, 2021 00:03:00","$18,000.00","$25,000.00",Initial Offer,Open,New Business,Trade Show,20,241,4. 181 - 360 days,"2. $10,001 - $20K",4178,No,No,No,No,24000088
"Neary, Marie",Tina Thomas,"03 Sep, 2020 00:07:00","27 Jan, 2021 00:12:00","$14,400.00","$12,450.00",Proposal/Price Quote,Open,New Business,Sales Mail Alias,100,146,3. 121 - 180 days,"2. $10,001 - $20K",1855,No,No,No,No,24000023
"Rutherford, Thelma",Augustine Paul,"02 Sep, 2020 00:07:00","04 Oct, 2020 00:08:00","$13,400.00","$16,250.00",Closed Won,Won,New Business,Public Relations,100,32,1. 0 - 60 days,"2. $10,001 - $20K",4303,Yes,Yes,No,Yes,24000095
"Goodwin, Louis",Lazar Mathew,"02 Sep, 2020 00:07:00","04 Oct, 2020 00:08:00","$99,400.00","$91,450.00",Closed Won,Won,Existing Business,OnlineStore,20,32,1. 0 - 60 days,5. Above 40K,3738,No,No,No,No,24000072
"Brown, Irvin",Tina Thomas,"02 Sep, 2020 00:07:00","26 Feb, 2021 00:01:00","$16,100.00","$31,800.00",Prospect,Open,New Business,OnlineStore,100,177,3. 121 - 180 days,"2. $10,001 - $20K",4270,No,No,No,No,24000093
"Coco, Lucille",Santa Cruz Clara,"02 Sep, 2020 00:07:00","05 Oct, 2020 00:08:00","$13,800.00","$11,600.00",Closed Won,Won,New Business,Trade Show,100,33,1. 0 - 60 days,"2. $10,001 - $20K",3693,No,No,No,No,24000072
"Ortiz, Devon",Thomas Mondrake,"02 Sep, 2020 00:07:00","30 Sep, 2020 00:08:00","$14,200.00","$17,800.00",Closed Won,Won,Existing Business,Web Research,0,28,1. 0 - 60 days,"2. $10,001 - $20K",4026,No,No,No,No,24000082
"Smith, Miranda",Thomas Mondrake,"02 Sep, 2020 00:07:00","22 Nov, 2020 00:10:00","$77,400.00","$69,800.00",Needs Analysis,Open,New Business,Web Research,0,81,2. 61 - 120 days,5. Above 40K,3631,No,No,No,No,24000071
"Ward, Shirley",Augustine Paul,"02 Sep, 2020 00:07:00","01 Oct, 2020 00:08:00","$10,000.00","$7,800.00",Closed Won,Won,Existing Business,External Referral,100,29,1. 0 - 60 days,1. 0 - $10K,3644,No,No,Yes,Yes,24000071
"Burns, Debra",Jasmine Frank,"02 Sep, 2020 00:07:00","06 Dec, 2020 00:10:00","$10,200.00","$12,300.00",Needs Analysis,Open,Existing Business,Sales Mail Alias,75,95,2. 61 - 120 days,"2. $10,001 - $20K",1927,No,No,No,No,24000024
"Haddix, Lorretta",Harold Pawlan,"01 Sep, 2020 00:07:00","01 Oct, 2020 00:08:00","$90,200.00","$96,200.00",Closed Won,Won,New Business,Partner,20,30,1. 0 - 60 days,5. Above 40K,4311,No,No,No,No,24000095
"Baez, Virginia",Lazar Mathew,"01 Sep, 2020 00:07:00","29 Sep, 2020 00:08:00","$14,300.00","$12,700.00",Closed Won,Won,New Business,Sales Mail Alias,10,28,1. 0 - 60 days,"2. $10,001 - $20K",4546,Yes,Yes,Yes,Yes,24000100
"Tate, Soon",Rozario Diego,"01 Sep, 2020 00:07:00","22 Mar, 2021 00:02:00","$5,500.00","$10,150.00",Initial Offer,Open,Existing Business,Trade Show,20,202,4. 181 - 360 days,1. 0 - $10K,3908,Yes,No,No,Yes,24000078
"Pitts, Anna",Tina Thomas,"01 Sep, 2020 00:07:00","17 Jan, 2021 00:12:00","$96,500.00","$77,400.00",Initial Offer,Open,Existing Business,Trade Show,75,138,3. 121 - 180 days,5. Above 40K,1568,Yes,Yes,No,Yes,24000015
"Graham, Brett",Rozario Diego,"01 Sep, 2020 00:07:00","03 Oct, 2020 00:08:00","$73,900.00","$61,400.00",Closed Lost,Lost,Existing Business,Cold Call,0,32,1. 0 - 60 days,5. Above 40K,4578,No,No,No,No,24000102
"Madrid, Carlos",Jasmine Frank,"31 Aug, 2020 00:07:00","05 Mar, 2021 00:01:00","$79,100.00","$97,900.00",Needs Analysis,Open,Existing Business,Sales Mail Alias,80,186,4. 181 - 360 days,5. Above 40K,1828,No,No,No,No,24000023
"Pruitt, Larry",David Love,"31 Aug, 2020 00:07:00","30 Oct, 2020 00:09:00","$9,600.00","$10,600.00",Qualification,Open,Existing Business,Public Relations,0,60,1. 0 - 60 days,1. 0 - $10K,4564,Yes,Yes,No,Yes,24000102
"Clark, Carol",Tina Thomas,"31 Aug, 2020 00:07:00","14 Feb, 2021 00:01:00","$12,800.00","$15,500.00",Initial Offer,Open,Existing Business,Sales Mail Alias,100,167,3. 121 - 180 days,"2. $10,001 - $20K",1532,No,No,No,No,24000015
"Gill, Marc",David Love,"31 Aug, 2020 00:07:00","29 Sep, 2020 00:08:00","$27,500.00","$15,200.00",Closed Won,Won,Existing Business,OnlineStore,20,29,1. 0 - 60 days,"3. $20,001 - $30K",3756,Yes,Yes,No,Yes,24000073
"Jones, Aaron",Rozario Diego,"31 Aug, 2020 00:07:00","03 Oct, 2020 00:08:00","$28,700.00","$29,100.00",Closed Won,Won,New Business,Sales Mail Alias,100,33,1. 0 - 60 days,"3. $20,001 - $30K",3710,No,No,No,No,24000072
"Ruffin, Richard",Roger Terrence,"31 Aug, 2020 00:07:00","30 Sep, 2020 00:08:00","$99,900.00","$93,900.00",Closed Lost,Lost,New Business,Sales Mail Alias,100,30,1. 0 - 60 days,5. Above 40K,4610,Yes,No,Yes,Yes,24000102
"Carraway, Charles",Thomas Mondrake,"30 Aug, 2020 00:07:00","15 Feb, 2021 00:01:00","$80,200.00","$104,350.00",Closed Lost,Lost,New Business,Cold Call,100,169,3. 121 - 180 days,5. Above 40K,1949,No,No,No,No,24000026
"Koopman, Bertha",Augustine Paul,"30 Aug, 2020 00:07:00","02 Oct, 2020 00:08:00","$16,100.00","$15,850.00",Qualification,Open,New Business,Sales Mail Alias,100,33,1. 0 - 60 days,"2. $10,001 - $20K",4682,Yes,No,No,Yes,24000106
"Patterson, Eddy",Lazar Mathew,"30 Aug, 2020 00:07:00","17 Mar, 2021 00:02:00","$6,000.00","$7,500.00",Qualification,Open,New Business,OnlineStore,80,199,4. 181 - 360 days,1. 0 - $10K,4639,Yes,No,No,Yes,24000103
"Hannon, Willie",Harold Pawlan,"30 Aug, 2020 00:07:00","03 Apr, 2021 00:02:00","$33,700.00","$22,400.00",Prospect,Open,New Business,Partner,25,216,4. 181 - 360 days,"4. $30,001 - $40K",4076,No,No,No,No,24000084
"Wildermuth, Bradley",Tina Thomas,"30 Aug, 2020 00:07:00","26 Dec, 2020 00:11:00","$33,100.00","$26,300.00",Prospect,Open,New Business,Sales Mail Alias,20,118,2. 61 - 120 days,"4. $30,001 - $40K",4087,No,No,No,No,24000084
"Chastain, Harvey",David Love,"29 Aug, 2020 00:07:00","22 Mar, 2021 00:02:00","$59,300.00","$53,100.00",Qualification,Open,New Business,Cold Call,10,205,4. 181 - 360 days,5. Above 40K,3795,No,No,No,No,24000076
"Perez, Jose",Roger Terrence,"29 Aug, 2020 00:07:00","29 Sep, 2020 00:08:00","$51,300.00","$58,000.00",Closed Lost,Lost,Existing Business,Employee Referral,0,31,1. 0 - 60 days,5. Above 40K,3867,Yes,Yes,No,Yes,24000077
"Hicks, James",Roger Terrence,"29 Aug, 2020 00:07:00","03 Oct, 2020 00:08:00","$23,600.00","$23,200.00",Closed Won,Won,New Business,Web Research,100,35,1. 0 - 60 days,"3. $20,001 - $30K",4594,Yes,No,Yes,Yes,24000102
"Humbert, Phyllis",Santa Cruz Clara,"29 Aug, 2020 00:07:00","21 Jan, 2021 00:12:00","$31,400.00","$17,800.00",Needs Analysis,Open,New Business,Advertisement,10,145,3. 121 - 180 days,"4. $30,001 - $40K",1121,No,No,No,No,24000005
"Clark, Carol",Pete Zachariah,"29 Aug, 2020 00:07:00","02 Oct, 2020 00:08:00","$18,400.00","$19,600.00",Closed Lost,Lost,Existing Business,Trade Show,80,34,1. 0 - 60 days,"2. $10,001 - $20K",4332,Yes,Yes,No,Yes,24000095
"Taylor, Errol",Jasmine Frank,"29 Aug, 2020 00:07:00","06 Oct, 2020 00:08:00","$89,100.00","$90,050.00",Closed Won,Won,New Business,Employee Referral,0,38,1. 0 - 60 days,5. Above 40K,3725,No,No,Yes,Yes,24000072
"Brown, Kathleen",Jasmine Frank,"28 Aug, 2020 00:07:00","01 Mar, 2021 00:01:00","$99,200.00","$109,700.00",Prospect,Open,New Business,OnlineStore,0,185,4. 181 - 360 days,5. Above 40K,1678,No,No,No,No,24000019
"Thomas, Patrick",Harold Pawlan,"26 Aug, 2020 00:07:00","25 Nov, 2020 00:10:00","$34,300.00","$17,800.00",Prospect,Open,Existing Business,Employee Referral,80,91,2. 61 - 120 days,"4. $30,001 - $40K",1609,No,No,No,No,24000016
"Graham, Roxane",Santa Cruz Clara,"26 Aug, 2020 00:07:00","15 Dec, 2020 00:11:00","$223,900.00","$247,900.00",Qualification,Open,Existing Business,Web Research,80,111,2. 61 - 120 days,5. Above 40K,1452,No,No,No,No,24000011
"Rowley, Ernest",Pete Zachariah,"25 Aug, 2020 00:07:00","07 Dec, 2020 00:10:00","$24,100.00","$32,400.00",Proposal/Price Quote,Open,Existing Business,Partner,0,104,2. 61 - 120 days,"3. $20,001 - $30K",1602,No,No,No,No,24000016
"Gutierrez, Leonard",Augustine Paul,"24 Aug, 2020 00:07:00","06 Mar, 2021 00:01:00","$242,000.00","$219,650.00",Closed Lost,Lost,New Business,Partner,100,194,4. 181 - 360 days,5. Above 40K,1611,Yes,No,No,Yes,24000016
"Moore, Andrew",David Love,"23 Aug, 2020 00:07:00","02 Dec, 2020 00:10:00","$203,200.00","$232,550.00",Closed Lost,Lost,Existing Business,Trade Show,25,101,2. 61 - 120 days,5. Above 40K,1928,Yes,Yes,No,Yes,24000024
"Bahena, Steven",Harold Pawlan,"23 Aug, 2020 00:07:00","20 Jan, 2021 00:12:00","$228,400.00","$211,650.00",Qualification,Open,Existing Business,Cold Call,80,150,3. 121 - 180 days,5. Above 40K,1500,No,No,No,No,24000012
"Herrera, Sheila",David Love,"23 Aug, 2020 00:07:00","09 Mar, 2021 00:01:00","$126,100.00","$135,450.00",Qualification,Open,New Business,Sales Mail Alias,100,198,4. 181 - 360 days,5. Above 40K,1459,No,No,No,No,24000012
"Bailey, Jeremiah",Augustine Paul,"22 Aug, 2020 00:07:00","20 Nov, 2020 00:10:00","$8,700.00","$10,800.00",Closed Lost,Lost,Existing Business,Web Research,100,90,2. 61 - 120 days,1. 0 - $10K,1748,No,No,No,No,24000021
"Tinkle, Jason",Rozario Diego,"22 Aug, 2020 00:07:00","21 Jan, 2021 00:12:00","$9,700.00","$7,550.00",Initial Offer,Open,New Business,Public Relations,0,152,3. 121 - 180 days,1. 0 - $10K,1053,No,No,No,No,24000002
"Patterson, Jackie",Pete Zachariah,"22 Aug, 2020 00:07:00","24 Dec, 2020 00:11:00","$13,000.00","$12,000.00",Initial Offer,Open,New Business,OnlineStore,100,124,3. 121 - 180 days,"2. $10,001 - $20K",1444,No,No,No,No,24000011
"Reynolds, John",Lazar Mathew,"21 Aug, 2020 00:06:00","10 Jan, 2021 00:11:00","$15,200.00","$19,800.00",Qualification,Open,New Business,Advertisement,100,142,3. 121 - 180 days,"2. $10,001 - $20K",1777,No,No,No,No,24000022
"Bishop, Karen",Thomas Mondrake,"21 Aug, 2020 00:06:00","02 Dec, 2020 00:10:00","$18,800.00","$10,100.00",Closed Won,Won,Existing Business,Public Relations,10,103,2. 61 - 120 days,"2. $10,001 - $20K",1513,No,No,No,No,24000014
"Mathew, Joseph",Thomas Mondrake,"19 Aug, 2020 00:06:00","27 Nov, 2020 00:10:00","$78,400.00","$80,500.00",Closed Lost,Lost,New Business,Trade Show,20,100,2. 61 - 120 days,5. Above 40K,1784,No,No,No,No,24000022
"Keller, William",David Love,"19 Aug, 2020 00:06:00","24 Jan, 2021 00:12:00","$6,200.00","$6,250.00",Qualification,Open,New Business,Trade Show,100,158,3. 121 - 180 days,1. 0 - $10K,1001,No,No,Yes,Yes,24000000
"Slate, Maria",Tina Thomas,"18 Aug, 2020 00:06:00","26 Dec, 2020 00:11:00","$52,800.00","$69,000.00",Qualification,Open,Existing Business,OnlineStore,0,130,3. 121 - 180 days,5. Above 40K,1552,Yes,Yes,No,Yes,24000015
"Mora, Awilda",Santa Cruz Clara,"18 Aug, 2020 00:06:00","21 Nov, 2020 00:10:00","$67,600.00","$86,000.00",Qualification,Open,Existing Business,Partner,80,95,2. 61 - 120 days,5. Above 40K,1538,No,No,No,No,24000015
"Oxley, Thelma",Rozario Diego,"17 Aug, 2020 00:06:00","07 Jan, 2021 00:11:00","$23,900.00","$23,900.00",Negotiation/Review,Open,New Business,Sales Mail Alias,100,143,3. 121 - 180 days,"3. $20,001 - $30K",1027,No,No,No,No,24000002
"Wilson, Gregory",Rozario Diego,"16 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$13,700.00","$11,800.00",Closed Won,Won,New Business,Partner,100,22,1. 0 - 60 days,"2. $10,001 - $20K",3761,No,No,No,No,24000073
"Morey, Melody",Tina Thomas,"16 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$85,400.00","$101,200.00",Closed Won,Won,New Business,Trade Show,75,22,1. 0 - 60 days,5. Above 40K,3791,No,No,No,No,24000075
"Beck, Dorothy",Augustine Paul,"16 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$8,200.00","$10,200.00",Qualification,Open,New Business,Trade Show,20,22,1. 0 - 60 days,1. 0 - $10K,3675,No,Yes,Yes,Yes,24000071
"Dow, Nicholas",Harold Pawlan,"15 Aug, 2020 00:06:00","18 Jan, 2021 00:12:00","$24,800.00","$25,100.00",Qualification,Open,New Business,Web Research,75,156,3. 121 - 180 days,"3. $20,001 - $30K",1389,No,No,No,No,24000011
"Rocha, Kevin",Harold Pawlan,"15 Aug, 2020 00:06:00","06 Sep, 2020 00:07:00","$105,600.00","$125,500.00",Qualification,Open,New Business,Web Research,25,22,1. 0 - 60 days,5. Above 40K,3792,No,No,No,No,24000075
"Morgan, Willie",Roger Terrence,"15 Aug, 2020 00:06:00","06 Sep, 2020 00:07:00","$221,900.00","$257,200.00",Needs Analysis,Open,New Business,Public Relations,10,22,1. 0 - 60 days,5. Above 40K,4663,Yes,Yes,No,Yes,24000105
"Gabriel, Charles",Santa Cruz Clara,"15 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$99,500.00","$103,600.00",Qualification,Open,Existing Business,Sales Mail Alias,100,23,1. 0 - 60 days,5. Above 40K,3547,Yes,Yes,Yes,Yes,24000069
"Mullen, Patrick",Pete Zachariah,"15 Aug, 2020 00:06:00","06 Sep, 2020 00:07:00","$62,600.00","$62,100.00",Closed Lost,Lost,New Business,Partner,20,22,1. 0 - 60 days,5. Above 40K,4383,No,No,No,No,24000097
"Moulton, Brian",Santa Cruz Clara,"15 Aug, 2020 00:06:00","24 Feb, 2021 00:01:00","$244,300.00","$237,000.00",Prospect,Open,New Business,Partner,80,193,4. 181 - 360 days,5. Above 40K,1728,No,No,No,No,24000021
"Newton, Susan",David Love,"15 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$25,600.00","$20,200.00",Closed Lost,Lost,Existing Business,Sales Mail Alias,0,23,1. 0 - 60 days,"3. $20,001 - $30K",4025,No,No,No,No,24000082
"Tate, Soon",Santa Cruz Clara,"14 Aug, 2020 00:06:00","06 Sep, 2020 00:07:00","$144,300.00","$155,400.00",Closed Lost,Lost,New Business,Partner,100,23,1. 0 - 60 days,5. Above 40K,4608,No,No,No,No,24000102
"Moore, Larry",Pete Zachariah,"13 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$11,600.00","$14,550.00",Initial Offer,Open,New Business,Advertisement,25,23,1. 0 - 60 days,"2. $10,001 - $20K",4846,No,No,No,No,24000109
"Canavan, Kelly",Santa Cruz Clara,"13 Aug, 2020 00:06:00","12 Jan, 2021 00:11:00","$97,600.00","$93,050.00",Qualification,Open,New Business,Trade Show,100,152,3. 121 - 180 days,5. Above 40K,1199,No,No,No,No,24000007
"Walker, Larry",Santa Cruz Clara,"13 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$7,300.00","$6,700.00",Qualification,Open,New Business,OnlineStore,90,23,1. 0 - 60 days,1. 0 - $10K,3623,No,No,No,No,24000070
"Jennings, Bernard",Harold Pawlan,"13 Aug, 2020 00:06:00","08 Dec, 2020 00:10:00","$9,700.00","$4,800.00",Initial Offer,Open,New Business,Cold Call,20,117,2. 61 - 120 days,1. 0 - $10K,1076,No,No,No,No,24000004
"Wright, Susan",Thomas Mondrake,"13 Aug, 2020 00:06:00","05 Dec, 2020 00:10:00","$18,100.00","$14,900.00",Qualification,Open,New Business,Trade Show,20,114,2. 61 - 120 days,"2. $10,001 - $20K",1172,No,No,No,No,24000006
"Colegrove, Clyde",Rozario Diego,"12 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$33,300.00","$16,900.00",Qualification,Open,Existing Business,Sales Mail Alias,0,24,1. 0 - 60 days,"4. $30,001 - $40K",4133,No,No,No,No,24000085
"Haynes, Harvey",Tina Thomas,"12 Aug, 2020 00:06:00","03 Sep, 2020 00:07:00","$24,000.00","$23,200.00",Needs Analysis,Open,New Business,Public Relations,25,22,1. 0 - 60 days,"3. $20,001 - $30K",4536,Yes,Yes,Yes,Yes,24000100
"Marshall, Brenda",Roger Terrence,"12 Aug, 2020 00:06:00","06 Sep, 2020 00:07:00","$138,800.00","$147,700.00",Closed Lost,Lost,New Business,OnlineStore,0,25,1. 0 - 60 days,5. Above 40K,3676,No,No,No,No,24000071
"Meyer, Damian",Lazar Mathew,"12 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$219,600.00","$214,150.00",Qualification,Open,New Business,Trade Show,25,24,1. 0 - 60 days,5. Above 40K,4043,Yes,Yes,No,Yes,24000082
"Bahena, Steven",Augustine Paul,"12 Aug, 2020 00:06:00","04 Sep, 2020 00:07:00","$22,200.00","$19,600.00",Proposal/Price Quote,Open,New Business,Partner,100,23,1. 0 - 60 days,"3. $20,001 - $30K",3600,No,Yes,Yes,Yes,24000070
"Newton, Ray",Roger Terrence,"12 Aug, 2020 00:06:00","16 Jan, 2021 00:12:00","$24,400.00","$24,600.00",Closed Lost,Lost,New Business,Web Research,10,157,3. 121 - 180 days,"3. $20,001 - $30K",1272,No,No,No,No,24000008
"Richter, Kerry",Tina Thomas,"11 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$6,300.00","$8,800.00",Closed Won,Won,New Business,Public Relations,0,25,1. 0 - 60 days,1. 0 - $10K,4851,Yes,No,No,Yes,24000109
"Herdon, John",Roger Terrence,"11 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$200,900.00","$255,000.00",Initial Offer,Open,New Business,Web Research,25,25,1. 0 - 60 days,5. Above 40K,3721,No,No,No,No,24000072
"Scheidt, Kenneth",Santa Cruz Clara,"11 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$17,600.00","$18,100.00",Closed Won,Won,New Business,Public Relations,0,27,1. 0 - 60 days,"2. $10,001 - $20K",4834,No,No,No,No,24000109
"Nevins, Adrian",Jasmine Frank,"10 Aug, 2020 00:06:00","04 Sep, 2020 00:07:00","$7,500.00","$10,800.00",Closed Won,Won,New Business,Cold Call,100,25,1. 0 - 60 days,1. 0 - $10K,4875,Yes,Yes,No,Yes,24000110
"Moore, Tara",Jasmine Frank,"10 Aug, 2020 00:06:00","02 Sep, 2020 00:07:00","$16,400.00","$14,300.00",Closed Won,Won,New Business,Sales Mail Alias,100,23,1. 0 - 60 days,"2. $10,001 - $20K",4835,Yes,Yes,No,Yes,24000109
"Schneider, Janet",Roger Terrence,"10 Aug, 2020 00:06:00","05 Sep, 2020 00:07:00","$90,100.00","$90,300.00",Closed Won,Won,New Business,Partner,25,26,1. 0 - 60 days,5. Above 40K,3627,No,No,No,No,24000071
"Dunn, Jennifer",Thomas Mondrake,"10 Aug, 2020 00:06:00","07 Sep, 2020 00:07:00","$92,100.00","$96,500.00",Qualification,Open,New Business,Trade Show,0,28,1. 0 - 60 days,5. Above 40K,4646,Yes,Yes,No,Yes,24000104
"Dishon, Roy",Pete Zachariah,"10 Aug, 2020 00:06:00","03 Sep, 2020 00:07:00","$19,500.00","$17,250.00",Closed Lost,Lost,New Business,Sales Mail Alias,10,24,1. 0 - 60 days,"2. $10,001 - $20K",4565,No,No,No,No,24000102
"Yu, Loren",Lazar Mathew,"09 Aug, 2020 00:06:00","01 Oct, 2020 00:08:00","$86,800.00","$107,100.00",Closed Won,Won,New Business,Trade Show,100,53,1. 0 - 60 days,5. Above 40K,4079,No,Yes,Yes,Yes,24000084
"Sands, Kenneth",Rozario Diego,"09 Aug, 2020 00:06:00","02 Oct, 2020 00:08:00","$224,700.00","$254,800.00",Closed Won,Won,New Business,Advertisement,100,54,1. 0 - 60 days,5. Above 40K,3794,No,No,No,No,24000075
"Taylor, Errol",Santa Cruz Clara,"09 Aug, 2020 00:06:00","03 Sep, 2020 00:07:00","$245,300.00","$203,600.00",Closed Won,Won,New Business,Advertisement,100,25,1. 0 - 60 days,5. Above 40K,4425,No,No,No,No,24000097
